名称,阶级,价值,名称_EN,简介,简介_EN,标签,分类,类型,职业,图纸集,icon,堆叠,矿石,木材,皮革,药草,零件,精华,冷却,属性
炼金台,1,85,Alchemy Station,新手炼金师的必备入门器具,Essential beginner tool for novice alchemists,装备/工具,工具,炼金台,,装备,res://素材/豆包AI素材/炼金台.png,100,25,0,0,0,6,0,30,
熔金埚,2,125,Gold Melting Crucible,新手炼金师的工具的升级款,Upgraded version of the novice alchemist's tool,装备/工具,工具,炼金台,,装备,res://素材/豆包AI素材/装备/*,100,25,0,0,0,8,1,30,
聚灵埚,5,225,Spirit Gathering Crucible,学徒炼金师的必备的工具,Essential tool for apprentice alchemists,装备/工具,工具,炼金台,,装备,res://素材/豆包AI素材/装备/*,100,25,0,0,0,10,5,30,
铁锅,1,85,Iron Wok,最简单的烹饪工具,The simplest cooking tool,装备/工具,工具,炼金台,,装备,res://素材/豆包AI素材/图标/铁锅.png,100,25,0,0,0,6,0,30,
素铁套,2,125,Plain Iron Set,"工具简易处理,能提升食材切配效率",Simply processed tools that improve ingredient cutting efficiency,装备/工具,工具,厨具,,装备,res://素材/豆包AI素材/装备/*,100,25,0,0,0,8,1,30,
巧厨套,5,225,Cooking Master Set,"锅铲与刀具均以赤铜锻造,能提升食材切配效率","Spatula and knives forged from red copper, enhancing ingredient cutting efficiency",装备/工具,工具,厨具,,装备,res://素材/豆包AI素材/装备/*,100,25,0,0,0,10,5,30,
随机礼盒,1,400,Random Gift Box,"基础款随机礼盒,在线一段时间后可以开启,获得随机奖励,每天最多开启5个",Basic random gift box. Can be opened after being online for a period to get random rewards. Max 5 openings per day.,礼盒,道具,礼盒,,特殊,res://素材/游戏素材/货币/29.png,1000,0,0,0,0,40,0,50,"{""使用"":""礼盒"",""礼盒"":[[""金币"",1,200,1000,50],[[""礼盒""],1,1,5,1],[[""贵重""],2,20,160,10]],""礼盒类型"":""挂机""}"
炼金礼盒,1,400,Alchemy Gift Box,"炼金材料的随机礼盒,在线一段时间后可以开启,获得随机奖励,每天最多开启5个",Random gift box for alchemy materials. Can be opened after being online for a period to get random rewards. Max 5 openings per day.,礼盒,道具,礼盒,,非图纸,res://素材/游戏素材/货币/29.png,1000,0,0,0,0,40,0,50,"{""使用"":""礼盒"",""礼盒"":[[""金币"",1,200,1000,50],[[""炼金""],5,20,60,10],[[""炼金"",""催化""],2,5,20,2]],""礼盒类型"":""手工""}"
符文礼盒,1,400,Rune Gift Box,"符文的随机礼盒,在线一段时间后可以开启,获得随机奖励,每天最多开启5个",Random gift box for runes. Can be opened after being online for a period to get random rewards. Max 5 openings per day.,礼盒,道具,礼盒,,非图纸,res://素材/游戏素材/货币/29.png,1000,0,0,0,0,40,0,50,"{""使用"":""礼盒"",""礼盒"":[[""金币"",1,200,1000,50],[[""符文""],2,5,15,2],[[""资源""],4,10,40,5]],""礼盒类型"":""手工""}"
绿色电路板,1,1000,Green Circuit Board,"这是一个绿色的电路板,用于解锁任务",A green circuit board used to unlock quests.,贵重,材料,,,非图纸,res://素材/游戏素材/像素半成品/Icon14_32.png,2000,,,,,,,,
蓝图纸,1,1000,Blueprint Sheet,"在合成 抽奖机界面研究消耗材料,可以通过任务,成就,随身商店等方式获得.","Consumable for research in the Crafting & Gacha interface. Obtainable via quests, achievements, portable shop, etc.",贵重,材料,,,非图纸,res://素材/选用素材/卷轴/scroll-blue.png,16000,,,,,,,,
黄图纸,1,1000,Yellow Blueprint,"在合成 蓝图库界面,对蓝图进行升星消耗材料",Consumable for star-upgrading blueprints in the Crafting & Blueprint Library interface.,贵重,材料,,,非图纸,res://素材/选用素材/卷轴/scroll-yellow.png,16000,,,,,,,,
金币,0,1,Gold,"一枚放在包里的金币,只有在钱包里的金币才能被统计",A gold coin kept in the bag. Only coins in the wallet are counted.,物资,货币,,,点金,res://素材/游戏素材/货币/2.png,1000000000000000000,1,0,0,0,0,0,10,"{""使用"":""金币""}"
体力,0,1,Stamina,"被具现化的体力,可以转化为1点体力",Materialized Stamina. Can be converted into 1 Stamina point.,代币/物资,体力,,,非图纸,res://素材/游戏素材/食品包/体力蛋糕.png,1000000000000000000,,,,,,,,"{""使用"":""体力""}"
挂机精通代币,0,1,AFK Mastery Token,使用后获得挂机系统当前精通池上限1%的精通池,Grants 1% of the current mastery pool cap for the AFK System upon use.,代币/物资,精通代币,,,非图纸,res://素材/豆包AI素材/图标/挂机.png,2000,,,,,,,,"{""使用"":""精通代币"",""系统"":""挂机""}"
木料精通代币,0,1,Lumber Mastery Token,使用后获得木料系统当前精通池上限1%的精通池,Grants 1% of the current mastery pool cap for the Lumber System upon use.,代币,精通代币,,,非图纸,res://素材/自制/图标/未知图片.png,2000,,,,,,,,
矿城精通代币,0,1,Mining City Mastery Token,使用后获得矿城系统当前精通池上限1%的精通池,Grants 1% of the current mastery pool cap for the Mining City System upon use.,代币,精通代币,,,非图纸,res://素材/自制/图标/未知图片.png,2000,,,,,,,,
手工精通代币,0,1,Crafting Mastery Token,使用后获得手工系统当前精通池上限1%的精通池,Grants 1% of the current mastery pool cap for the Crafting System upon use.,代币/物资,精通代币,,,非图纸,res://素材/豆包AI素材/图标/手工.png,2000,,,,,,,,"{""使用"":""精通代币"",""系统"":""手工""}"
游历精通代币,0,1,Wandering Mastery Token,使用后获得游历系统当前精通池上限1%的精通池,Grants 1% of the current mastery pool cap for the Wandering System upon use.,代币,精通代币,,,非图纸,res://素材/自制/图标/未知图片.png,2000,,,,,,,,
职业精通代币,0,1,Profession Mastery Token,使用后获得职业系统当前精通池上限1%的精通池,Grants 1% of the current mastery pool cap for the Profession System upon use.,代币,精通代币,,,非图纸,res://素材/自制/图标/未知图片.png,2000,,,,,,,,
召唤精通代币,0,1,Summoning Mastery Token,使用后获得召唤系统当前精通池上限1%的精通池,Grants 1% of the current mastery pool cap for the Summoning System upon use.,代币,精通代币,,,非图纸,res://素材/自制/图标/未知图片.png,2000,,,,,,,,
催化剂代币,0,1,Catalyst Token,"提交炼金材料订单获得,可以在炼金玩法界面兑换指定主线催化剂",Obtained by submitting alchemy material orders. Exchange for specified main story catalysts in the Alchemy interface.,代币,交易代币,,,非图纸,res://素材/豆包AI素材/图标/炼金.png,2000,,,,,,,,
烹饪代币,0,1,Cooking Token,"烹饪玩法的代币,可以在烹饪界面解锁菜谱.",Token for Cooking gameplay. Unlock recipes in the Cooking interface.,代币,交易代币,,,非图纸,res://素材/豆包AI素材/图标/烹饪图标.png,2000,,,,,,,,
资源回复代币,0,1,Resource Recovery Token,在合成界面增加资源自动回复数量,Increases automatic resource recovery amount in the Crafting interface.,代币,交易代币,,,非图纸,res://素材/游戏素材/货币/资源回复.png,2000,,,,,,,,
贤者点数,0,1,Sage Points,从炼金中总结的力量.可以逆转炼金结果.,Power distilled from alchemy. Can reverse alchemy results.,点数,点数/资源,,,非图纸,res://素材/豆包AI素材/点数/贤者点数.png,2000,,,,,,,,"{""使用"":""资源""}"
贤者之石,0,1,Philosopher's Stone,"炼金的终极目标,自动产生贤者点数.",The ultimate goal of alchemy. Automatically generates Sage Points.,点数/代币,点数,,,非图纸,res://素材/豆包AI素材/点数/贤者之石.png,2000,,,,,,,,
铁锭,1,50,Iron Ingot,T1到T5装备的升级材料,Upgrade material for T1 to T5 equipment,材料,材料,基础素材,战士,基础素材,res://素材/游戏素材/金属矿包/Icon31_15.png,2000,20,0,0,0,3,0,10,"{""蓝图"":200}"
纤维,1,50,Fiber,T1到T5装备的升级材料,Upgrade material for T1 to T5 equipment,材料,材料,基础素材,法师,基础素材,res://素材/游戏素材/猎奇材料包/1.png,2000,0,20,0,0,3,0,10,"{""蓝图"":200}"
鞣革,1,50,Tanned Leather,T1到T5装备的升级材料,Upgrade material for T1 to T5 equipment,材料,材料,基础素材,射手,基础素材,res://素材/游戏素材/动物材料/19.png,2000,0,0,20,0,3,0,10,"{""蓝图"":200}"
麻布,1,50,Linen Cloth,T1到T5装备的升级材料,Upgrade material for T1 to T5 equipment,材料,材料,基础素材,,基础素材,res://素材/豆包AI素材/基础材料/*,2000,0,0,0,20,3,0,10,"{""蓝图"":200}"
火符文,1,170,Fire Rune,赤红火纹缠绕符身，触之有跃动光粒，随气息明灭闪烁。,"Crimson fire patterns wrap around the talisman, with glowing particles that flicker with breath.",符文/收藏品,材料,符文,,符文,res://素材/全息图片AI素材/元素/火.png,1000,100,0,0,0,5,1,25,"{""蓝图"":200}"
水符文,1,170,Water Rune,淡蓝符面柔波流转，指尖轻触便漾开细碎水光。,Pale blue talisman surface with gentle waves; fine water ripples spread at a touch.,符文/收藏品,材料,符文,,符文,res://素材/全息图片AI素材/元素/水.png,1000,0,50,0,50,5,1,25,"{""蓝图"":200}"
冰符文,1,170,Ice Rune,莹白霜晶凝于符上，周身萦绕冷辉，触之生微凉。,"Glowing white frost crystals form on the talisman, surrounded by cold radiance, cool to the touch.",符文/收藏品,材料,符文,,符文,res://素材/全息图片AI素材/元素/冰.png,1000,0,40,0,60,5,1,25,"{""蓝图"":200}"
草符文,1,170,Grass Rune,青绿纹路如蔓藤舒展，符边缀着若隐若现的细小花影。,"Teal patterns stretch like vines, with faint tiny flower shadows along the edges.",符文/收藏品,材料,符文,,符文,res://素材/全息图片AI素材/元素/草.png,1000,0,0,0,100,5,1,25,"{""蓝图"":200}"
雷符文,1,170,Lightning Rune,深紫符身有紫电交织，稍动便迸裂出细碎星芒。,Deep purple talisman woven with purple lightning; slight movement sparks fine starlight.,符文/收藏品,材料,符文,,符文,res://素材/全息图片AI素材/元素/雷.png,1000,50,50,0,0,5,1,25,"{""蓝图"":200}"
土符文,1,170,Earth Rune,棕黄符面似岩层肌理，静置时会泛出细微的土色光点。,Brown-yellow talisman surface like rock texture; emits faint earth-colored sparkles when still.,符文/收藏品,材料,符文,,符文,res://素材/全息图片AI素材/元素/土.png,1000,50,0,50,0,5,1,25,"{""蓝图"":200}"
风符文,1,170,Wind Rune,浅青符身裹着轻旋气流，晃动时似有无形风团环绕。,Pale cyan talisman wrapped in swirling air; invisible wind clusters surround it when shaken.,符文/收藏品,材料,符文,,符文,res://素材/全息图片AI素材/元素/风.png,1000,0,0,100,0,5,1,25,"{""蓝图"":200}"
火宝石,5,200,Fire Gem,"使用符文来附魔宝石,获得属性",Enchant gems with runes to gain attributes,宝石,材料,宝石,,符文,res://素材/豆包AI素材/宝石/*,1000,,,,,,,,"{""元素"":""火""}"
水宝石,5,200,Water Gem,"使用符文来附魔宝石,获得属性",Enchant gems with runes to gain attributes,宝石,材料,宝石,,符文,res://素材/豆包AI素材/宝石/*,1000,,,,,,,,"{""元素"":""水""}"
冰宝石,5,200,Ice Gem,"使用符文来附魔宝石,获得属性",Enchant gems with runes to gain attributes,宝石,材料,宝石,,符文,res://素材/豆包AI素材/宝石/*,1000,,,,,,,,"{""元素"":""冰""}"
草宝石,5,200,Grass Gem,"使用符文来附魔宝石,获得属性",Enchant gems with runes to gain attributes,宝石,材料,宝石,,符文,res://素材/豆包AI素材/宝石/*,1000,,,,,,,,"{""元素"":""草""}"
雷宝石,5,200,Lightning Gem,"使用符文来附魔宝石,获得属性",Enchant gems with runes to gain attributes,宝石,材料,宝石,,符文,res://素材/豆包AI素材/宝石/*,1000,,,,,,,,"{""元素"":""雷""}"
土宝石,5,200,Earth Gem,"使用符文来附魔宝石,获得属性",Enchant gems with runes to gain attributes,宝石,材料,宝石,,符文,res://素材/豆包AI素材/宝石/*,1000,,,,,,,,"{""元素"":""土""}"
风宝石,5,200,Wind Gem,"使用符文来附魔宝石,获得属性",Enchant gems with runes to gain attributes,宝石,材料,宝石,,符文,res://素材/豆包AI素材/宝石/*,1000,,,,,,,,"{""元素"":""风""}"
矿石,0,1,Ore,"合成蓝图物品的物质,即使在背包里也可以被使用",Material for crafting blueprint items. Usable even in inventory.,资源/物资,资源,,,非图纸,res://素材/游戏素材/货币/13.png,2000,1,,,,,,,"{""使用"":""资源""}"
木材,0,1,Wood,"合成蓝图物品的物质,即使在背包里也可以被使用",Material for crafting blueprint items. Usable even in inventory.,资源/物资,资源,,,非图纸,res://素材/游戏素材/货币/36.png,2000,,1,,,,,,"{""使用"":""资源""}"
皮革,0,1,Leather,"合成蓝图物品的物质,即使在背包里也可以被使用",Material for crafting blueprint items. Usable even in inventory.,资源/物资,资源,,,非图纸,res://素材/游戏素材/货币/16.png,2000,,,1,,,,,"{""使用"":""资源""}"
药草,0,1,Herb,"合成蓝图物品的物质,即使在背包里也可以被使用",Material for crafting blueprint items. Usable even in inventory.,资源/物资,资源,,,非图纸,res://素材/游戏素材/货币/11.png,2000,,,,1,,,,"{""使用"":""资源""}"
零件,0,10,Rune_Stone,"合成蓝图物品的物质,即使在背包里也可以被使用",Material for crafting blueprint items. Usable even in inventory.,资源/物资,资源,,,非图纸,res://素材/游戏素材/货币/49.png,2000,2.5,2.5,2.5,2.5,0,0,-1,"{""使用"":""资源""}"
精华,0,20,Gem_Essence,"合成蓝图物品的物质,即使在背包里也可以被使用",Material for crafting blueprint items. Usable even in inventory.,资源/物资,资源,,,非图纸,res://素材/游戏素材/货币/50.png,2000,,,,,2,,,"{""使用"":""资源""}"
星核矿砂,1,30,Star Core Ore Sand,矿山浅层常见的银灰色砂粒，表面带有微弱金属光泽,"Common silver-gray sand in shallow mines, faint metallic luster on surface.",炼金,材料,炼金材料,,炼金材料,res://素材/豆包AI素材/炼金材料/*,1800,20,0,0,0,1,0,10,"{""炼金属性"":{""创造"":6,""齿轮"":5,""勇气"":-1},""类型"":""矿物"",""蓝图"":200}"
冥铁碎片,2,35,Nether Iron Shard,普通铁矿伴生的深灰色碎片，表面略显粗糙,"Dark gray shard from common iron ore, slightly rough surface.",炼金,材料,炼金材料,,炼金材料,res://素材/豆包AI素材/炼金材料/*,1800,25,0,0,0,1,0,10,"{""炼金属性"":{""创造"":8,""齿轮"":2,""奇异"":2},""类型"":""矿物""}"
魂晶粉尘,3,40,Soul Crystal Dust,岩石缝隙中析出的白色晶体粉末，遇光会轻微反光,"White crystal powder precipitated in rock crevices, slightly reflective in light.",炼金,材料,炼金材料,,炼金材料,res://素材/豆包AI素材/炼金材料/*,1800,30,0,0,0,1,0,10,"{""炼金属性"":{""创造"":4,""齿轮"":8,""洞察"":2},""类型"":""矿物""}"
血牙结晶,4,45,Blood Fang Crystal,普通野兽獠牙磨损后凝结的红褐色晶体，硬度较低,"Reddish-brown crystal formed from worn common beast fangs, low hardness.",炼金,材料,炼金材料,,炼金材料,res://素材/豆包AI素材/炼金材料/*,1800,0,0,25,0,2,0,10,"{""炼金属性"":{""创造"":6,""齿轮"":8,""勇气"":2},""类型"":""矿物""}"
辉光矿晶,5,130,Glow Ore Crystal,深埋地下的六棱柱形矿石，表面覆盖着流动状的荧光纹路，在黑暗中会发出蓝绿色微光。,"Hexagonal prismatic ore buried deep underground, covered in flowing fluorescent patterns, glows teal in darkness.",炼金,材料,炼金材料,,炼金材料,res://素材/豆包AI素材/炼金材料/*,1800,0,0,20,0,1,5,10,"{""炼金属性"":{""创造"":12,""齿轮"":10,""勇气"":-2},""类型"":""矿物""}"
幻雾凝露,1,30,Fantasy Mist Condensate,清晨林间雾气凝结而成的透明液滴，附着在叶片表面,"Transparent droplets condensed from morning forest mist, attached to leaf surfaces.",炼金,材料,炼金材料,,炼金材料,res://素材/豆包AI素材/炼金材料/*,1800,0,20,0,0,1,0,10,"{""炼金属性"":{""奇异"":8,""复苏"":3,""创造"":-1},""类型"":""植物"",""蓝图"":200}"
月影花汁,2,35,Moon Shadow Flower Nectar,生长在林间的白色小花，夜间分泌清甜汁液，易采集,"White small flower growing in forests, secretes sweet sap at night, easy to collect.",炼金,材料,炼金材料,,炼金材料,res://素材/豆包AI素材/炼金材料/*,1800,0,0,0,25,1,0,10,"{""炼金属性"":{""奇异"":5,""复苏"":5,""洞察"":2},""类型"":""植物""}"
灵菇伞盖,3,40,Spirit Mushroom Cap,湿地草丛中常见的浅棕色菌盖，伞面带有细小菌褶,"Common light brown mushroom cap in wet grass, with fine gills on the surface.",炼金,材料,炼金材料,,炼金材料,res://素材/豆包AI素材/炼金材料/*,1800,0,0,0,30,1,0,10,"{""炼金属性"":{""奇异"":8,""复苏"":7,""齿轮"":-1},""类型"":""植物""}"
炽心草茎,4,45,Blazing Heart Grass Stem,向阳坡生长的绿色草茎，茎秆内部带有淡红色汁液,"Green grass stem growing on sunny slopes, with pale red sap inside.",炼金,材料,炼金材料,,炼金材料,res://素材/豆包AI素材/炼金材料/*,1800,0,0,25,0,2,0,10,"{""炼金属性"":{""奇异"":4,""复苏"":10,""勇气"":2},""类型"":""植物""}"
星叶花,5,130,Star Leaf Flower,生长在月光照射的山谷中的奇特花朵，花瓣呈星形，中心有金色花蕊，能分泌带有淡淡香气的透明露珠。,"Strange flower growing in moonlit valleys, star-shaped petals with golden stamens, secretes scented transparent dew.",炼金,材料,炼金材料,,炼金材料,res://素材/豆包AI素材/炼金材料/*,1800,0,0,20,0,1,5,10,"{""炼金属性"":{""奇异"":8,""复苏"":10,""洞察"":2},""类型"":""植物""}"
发条虫蜕,1,30,Clockwork Bug Shed,林间土壤中生活的发条虫褪下的黄褐色薄壳，质地坚韧,"Tawny thin shell shed by clockwork bugs in forest soil, tough texture.",炼金,材料,炼金材料,,炼金材料,res://素材/豆包AI素材/炼金材料/*,1800,0,0,20,0,1,0,10,"{""炼金属性"":{""勇气"":4,""洞察"":6},""类型"":""生物"",""蓝图"":200}"
腐翼鳞粉,2,35,Rot Wing Scale Powder,常见飞虫脱落的鳞粉，呈浅褐色，易随风飘散,"Light brown scale powder shed by common flying insects, easily blown by wind.",炼金,材料,炼金材料,,炼金材料,res://素材/豆包AI素材/炼金材料/*,1800,0,0,25,0,1,0,10,"{""炼金属性"":{""勇气"":4,""洞察"":9,""复苏"":-1},""类型"":""生物""}"
海灵珠,3,40,Sea Spirit Pearl,深海人鱼族的眼泪凝结而成的珍珠，呈椭圆形，内部有流动的水波纹路，在阳光下会折射出七彩光芒。,"Pearl condensed from deep-sea mermaid tears, oval with flowing water patterns, refracts colorful light in sun.",炼金,材料,炼金材料,,炼金材料,res://素材/豆包AI素材/炼金材料/*,1800,0,0,30,0,1,0,10,"{""炼金属性"":{""勇气"":5,""洞察"":10,""齿轮"":-1},""类型"":""生物""}"
骨角碎片,4,45,Bone Horn Shard,戈壁巨兽脱落的头部角质碎片，呈弯月形，表面有螺旋状的深褐色纹路，质地坚硬且带有微弱的土系魔力波动。,"Crescent-shaped horn shard from desert behemoths, spiral dark brown patterns, hard with faint earth magic.",炼金,材料,炼金材料,,炼金材料,res://素材/豆包AI素材/炼金材料/*,1800,0,0,25,0,2,0,10,"{""炼金属性"":{""勇气"":7,""洞察"":7,""创造"":2},""类型"":""生物""}"
焰尾羽,5,130,Flame Tail Feather,火山火鸟尾部的羽毛，呈流线型，羽轴为深红色，羽片为橙黄色，末端有火焰状的边缘，触碰时会感到轻微的灼热感。,"Streamlined feather from volcanic firebird tail, dark red shaft, orange-yellow vanes, flame edges, slightly warm to touch.",炼金,材料,炼金材料,,炼金材料,res://素材/豆包AI素材/炼金材料/*,1800,0,0,20,0,1,5,10,"{""炼金属性"":{""勇气"":10,""洞察"":8,""复苏"":2},""类型"":""生物""}"
圣盾徽记,5,1000,Holy Shield Emblem,铁匠铺常见的金属徽记，刻有简易盾形纹路，质地坚实,"Common metal emblem in blacksmith shops, carved with simple shield patterns, solid texture.",催化,材料,催化剂,战士,非图纸,res://素材/豆包AI素材/炼金材料/*,1000,,,,,,,,"{""炼金药水"":[""圣坚药水"",""勇气"",50]}"
星纹结晶,5,1000,Starweave Crystal,学徒常用的基础结晶，表面刻有简单星纹，能量稳定,"Basic crystal for apprentices, engraved with simple star patterns, stable energy.",催化,材料,催化剂,法师,非图纸,res://素材/豆包AI素材/炼金材料/*,1000,,,,,,,,"{""炼金药水"":[""风羽药水"",""奇异"",50]}"
风翎符片,5,1000,Wind Plume Talisman,用普通禽羽压制的符片，轻便易携带，附着微弱风元素,"Talisman pressed from common bird feathers, lightweight and portable, with faint wind element.",催化,材料,催化剂,射手,非图纸,res://素材/豆包AI素材/炼金材料/*,1000,,,,,,,,"{""炼金药水"":[""星芒药水"",""创造"",50]}"
颜料瓶,5,1000,Paint Bottle,"游玩水排序获得的催化剂,大幅度提高颜料的获得概率","Catalyst obtained from Water Sorting minigame, greatly increases paint drop chance.",特殊催化,材料,催化剂,,非图纸,res://素材/豆包AI素材/像素瓶子宽.png,1000,,,,,,,,{}
枯骨残片,1,50,Withered Bone Shard,骷髅掉落物,Skeleton drop,战利品,材料,,,非图纸,res://素材/豆包AI素材/战利品/*,2000,,,,,,,,{}
腐僵碎肉,1,50,Rotten Corpse Meat,僵尸掉落物,Zombie drop,战利品,材料,,,非图纸,res://素材/豆包AI素材/战利品/*,2000,,,,,,,,{}
圣坚药水,1,2500,Holy Fortitude Potion,骑士专属药水，汲取圣盾徽记的坚实特质炼制而成，可获得堪比金属盾牌的防御强化，身躯如锻钢般稳固可靠。,"Knight-exclusive potion forged with the firm trait of Holy Shield Emblem, grants defense boost like a metal shield, body as stable as forged steel.",装备药水,药水,装备药水,战士,非图纸,res://素材/豆包AI素材/药水/*,300,,,,,,,,"{""药水数量"":[50, 4]}"
星芒药水,1,2500,Star Radiance Potion,法师专属药水，萃取星纹结晶的稳定能量炼制而成，可快速校准法术能量波动，让基础法术释放更精准。,"Mage-exclusive potion extracted from stable energy of Starweave Crystal, quickly calibrates spell energy fluctuations for precise basic spell casting.",装备药水,药水,装备药水,法师,非图纸,res://素材/豆包AI素材/药水/*,300,,,,,,,,"{""药水数量"":[50, 4]}"
风羽药水,1,2500,Wind Feather Potion,射手专属药水，萃取风翎符片的风元素与轻便特质炼制而成，可获得元素加持，身形变得轻盈迅捷如同携风而行般灵活。,"Archer-exclusive potion infused with wind element and lightness of Wind Plume Talisman, grants elemental boost, light and swift body like riding wind.",装备药水,药水,装备药水,射手,非图纸,res://素材/豆包AI素材/药水/*,300,,,,,,,,"{""药水数量"":[50, 4]}"
白伞菇,1,50,White Umbrella Mushroom,口感脆嫩，带着纯粹的菌香与淡淡的清甜，回味干净无杂味，清炒或煮汤都能凸显本味。,"Crisp and tender, pure mushroom aroma with light sweetness, clean aftertaste. Highlights original flavor in stir-fry or soup.",食物/食材/炼金,食材,食材,,食材,res://素材/元宝/食物/食材/*,2000,0,0,0,30,2,0,12,"{""卡路里"":20,""食材"":""菌类"",""美味度"":12.5,""炼金属性"":{""奇异"":5,""复苏"":6,""创造"":-1},""类型"":""植物""}"
荧光菇,2,55,Glow Mushroom,清香中带着一丝微甜，风味柔和不刺激，自带淡淡的草本气息，无论是凉拌还是焖煮都能增添清新感。,"Fresh fragrance with mild sweetness, soft and non-irritating, light herbal scent. Adds freshness in cold dishes or braised food.",食物/食材/炼金,食材,食材,,食材,res://素材/元宝/食物/食材/*,2000,0,0,0,35,2,0,12,"{""卡路里"":18,""食材"":""菌类"",""美味度"":15,""炼金属性"":{""奇异"":4,""复苏"":7,""洞察"":1},""类型"":""植物""}"
幽影腐菇,3,60,Shadow Rot Mushroom,经过自然发酵的浓郁风味，咸鲜醇厚，带着轻微的酱香底味，口感绵密，适合重口味烹饪提鲜。,"Rich naturally fermented flavor, savory and mellow, slight sauce base, dense texture. Enhances umami for bold dishes.",食物/食材/炼金,食材,食材,,食材,res://素材/元宝/食物/食材/*,2000,0,0,0,40,2,0,12,"{""卡路里"":22,""食材"":""菌类"",""美味度"":17.5,""炼金属性"":{""奇异"":7,""复苏"":7},""类型"":""植物""}"
灵脉菌,4,65,Spirit Vein Fungus,菌香格外浓郁，清甜中带着一丝回甘，口感脆嫩爽口，咀嚼时能感受到自然的鲜味在舌尖散开。,"Strong mushroom aroma, sweet with subtle aftertaste, crisp and refreshing. Natural umami bursts on tongue when chewed.",食物/食材/炼金,食材,食材,,食材,res://素材/元宝/食物/食材/*,2000,0,0,0,45,2,0,12,"{""卡路里"":20,""食材"":""菌类"",""美味度"":20,""炼金属性"":{""奇异"":6,""复苏"":8,""勇气"":2},""类型"":""植物""}"
炽焰绒菇,5,110,Blazing Flame Mushroom,生长在熔岩裂隙中的焰状蘑菇，伞盖覆满红橙渐变的绒质菌褶，触碰时会散出细碎火星并释放暖意,"Flame-shaped mushroom growing in lava fissures, cap covered in red-orange fuzzy gills, emits tiny sparks and warmth when touched.",食物/食材/炼金,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,0,0,30,2,3,10,"{""卡路里"":20,""食材"":""菌类"",""美味度"":25,""炼金属性"":{""奇异"":10,""复苏"":8,""洞察"":2},""类型"":""植物""}"
春小麦粒,1,50,Spring Wheat Grain,带着纯粹的麦香，微甜软糯，煮熟后口感饱满，无论是煮粥还是磨粉，都能保留谷物的本真风味。,"Pure wheat aroma, slightly sweet and soft, full texture when cooked. Retains grain flavor in porridge or flour.",食物/食材,食材,食材,,食材,res://素材/元宝/食物/食材/*,2000,0,0,0,30,2,0,12,"{""卡路里"":35,""食材"":""谷物"",""美味度"":5,""蓝图"":120}"
沙螟谷,2,55,Sand Borer Grain,高蛋白的鲜香口感，肉质紧实弹牙，带着淡淡的咸鲜底味，烹饪后鲜味突出，无多余异味。,"High-protein savory taste, firm and chewy flesh, light salty base, prominent umami after cooking, no excess odor.",食物/食材,食材,食材,,食材,res://素材/元宝/食物/食材/*,2000,0,15,0,20,2,0,12,"{""卡路里"":35,""食材"":""谷物"",""美味度"":6,""蓝图"":150}"
